Arrests,School,Charge
45,Columbia,Criminal trespass 3rd enclosed prop
67,Columbia,Unknown
3,Columbia,"Burglary 3rd, illegal Entry With Intent, Obstruct Governmentl Admin-2nd"
1,Columbia,"Burglary 3rd,  illegal entry with intent, Criminal Mischief, Conspiracy, Criminal Trespass"
7,Columbia,"Burglary 3rd, illegal entry with intent"
3,CUNY,"Burglary in 3rd degree, illegal entry with intent, Obstruct Governmentl Admin-2nd"
13,CUNY,"Burglary in 3rd degree, illegal entry with intent"
1,CUNY,"Burglary in 3rd degree, illegal entry with intent, obstruction gov instruction"
1,CUNY,resisting arrest/assault
